코인셀 보관함	Coin-cell organizer	コイン電池ケース	纽扣电池收纳盒
01 / COIN CELL BOX · 실물 출력판 + 맞춤 편집기	01 / COIN CELL BOX · Printed design + custom editor	01 / COIN CELL BOX · 実物確認済みモデル＋編集ツール	01 / COIN CELL BOX · 实物打印版＋定制编辑器
STL Studio — 내 물건에 맞게, 직접 만드는 수납	STL Studio — Storage made to fit	STL Studio — 自分に合った収納を作る	STL Studio — 定制你的收纳
브라우저에서 종류와 개수를 설정하고 3D 프린팅용 STL을 만드는 편집기 모음.	Browser editors that turn your choices into printable STL files.	種類と数量を選び、ブラウザーで印刷用STLを作るツール集。	在浏览器中选择种类与数量，生成可打印STL文件的工具集。
브라우저에서 설계하고 · STL로 다운로드	Design in your browser · Download STL	ブラウザーで設計 · STLをダウンロード	浏览器设计 · 下载STL
내 물건에 맞는 크기.	Sized for your things.	持ち物に合うサイズ。	适合你的尺寸。
내가 정하는 수납.	Storage on your terms.	自分で決める収納。	自己决定如何收纳。
필요한 종류와 수량을 고르면 형태가 따라옵니다.	Choose the types and quantities; the layout follows.	種類と数量を選ぶと、配置が決まります。	选择种类和数量，自动生成布局。
설치나 계정 없이 편집하고, 내 프린터에서 출력하세요.	No installation or account needed. Print on your own printer.	インストールもアカウントも不要。自分のプリンターで印刷できます。	无需安装或注册，用自己的打印机打印。
서로 다른 코인셀을 한 상자에.	Different coin cells, one box.	異なるコイン電池を一つの箱に。	不同型号的纽扣电池，收进一个盒子。
종류별 수량 · 자동 배치 · 경사 슬롯 · 매립 자석 잠금	Quantities by type · Automatic layout · Tilted slots · Embedded magnets	種類別の数量 · 自動配置 · 傾斜スロット · 埋め込み磁石	分类数量 · 自动布局 · 倾斜插槽 · 内嵌磁吸
사진·출력 파일·편집기 보기 →	Photos, print files & editor →	写真・印刷ファイル・編集ツール →	查看照片、打印文件与编辑器 →
실제 출력한 코인셀 보관함	The physically printed coin-cell organizer	実際に印刷したコイン電池ケース	实际打印的纽扣电池收纳盒
모든 형상 계산은 브라우저 안에서 진행됩니다. 맞춤형 출력물의 실제 끼움과 유지력은 출력 조건에 따라 달라집니다.	Geometry is calculated in your browser. Fit and retention of custom prints depend on printing conditions.	形状はブラウザー内で計算します。カスタム品のはめ合いと保持力は印刷条件に依存します。	所有形状在浏览器中计算。定制打印件的配合和保持力取决于打印条件。
코인셀 보관함 편집기 — STL Studio	Coin-cell organizer editor — STL Studio	コイン電池ケース編集ツール — STL Studio	纽扣电池收纳盒编辑器 — STL Studio
코인셀 종류와 수량을 고르면 직사각형 상자에 자동 배치합니다. 간격과 기울기를 조절하고 본체·뚜껑 STL을 내려받으세요.	Choose battery types and quantities, adjust spacing and tilt, then download body and lid STLs.	電池の種類と数量を選び、間隔と傾きを調整して本体・ふたのSTLを保存できます。	选择电池型号与数量，调整间距和倾角，下载盒体及盒盖STL。
맞춤 설계 시험판	Experimental custom editor	カスタム設計・試用版	定制设计试用版
종류와 개수를 고르세요. 빈 공간을 줄이는 배치와 뚜껑 받침을 함께 만듭니다.	Choose types and quantities. Generate a compact layout with matching lid pads.	種類と数量を選びます。空きを抑えた配置と対応するふたの押さえを生成します。	选择种类和数量，生成紧凑布局及匹配的盒盖限位块。
사진 속 실물과 동일한 고정형 STL·3MF 받기 →	Download the fixed STL/3MF matching the photos →	写真と同じ固定モデルのSTL・3MF →	下载与照片实物一致的固定版STL／3MF →
· 이 아래는 수량과 배치를 바꾸는 맞춤 편집 시험판입니다.	· Below is the experimental editor for custom quantities and layouts.	· 以下は数量と配置を変更する試用版です。	· 下方为可调整数量及布局的定制试用版。
무엇을 담을까요?	What will you store?	何を収納しますか？	要收纳哪些电池？
10 / 5개 예시	10 / 5 example	10個／5個の例	10／5个示例
기본값	Defaults	初期値	默认值
간격 · 기울기 · 배치	Spacing · Tilt · Layout	間隔 · 傾き · 配置	间距 · 倾角 · 布局
중심 간격 (mm)	Centre spacing (mm)	中心間隔 (mm)	中心间距 (mm)
셀 중심 사이 거리입니다. 커질수록 집기 쉽고 상자도 넓어집니다.	Distance between cell centres. More spacing gives more finger room and a wider box.	電池の中心間距離です。広げるとつまみやすくなり、箱も大きくなります。	电池中心之间的距离。间距越大，越方便拿取，盒子也越宽。
기울기 (°)	Tilt (°)	傾き (°)	倾角 (°)
노출 비율 (%)	Exposed height (%)	露出する高さ (%)	露出高度比例 (%)
셀의 세로 높이 중 홈 밖으로 나오는 비율입니다. 뚜껑 받침도 함께 조절됩니다.	Share of cell height above the dividers. Lid pads adjust with it.	仕切りから出る電池の高さの割合です。ふたの押さえも連動します。	电池高度中露出隔板的比例。盒盖限位块会同步调整。
내부 폭 상한 (mm)	Internal width limit (mm)	内幅の上限 (mm)	内部宽度上限 (mm)
0이면 자동입니다. 폭을 줄이면 많은 종류를 여러 줄로 나눕니다. 종류별 묶음을 유지하며 빈 공간에 다른 묶음을 배치합니다.	0 means automatic. Narrower widths split quantities into more rows. Groups stay together and share spare row space.	0は自動です。幅を狭めると複数行に分かれます。種類ごとのまとまりを保ちながら空きに別のグループを配置します。	0表示自动。较窄的宽度会拆分成更多行；同类电池成组排列，利用余下空间放置其他组。
3D 형상 만들기	Generate 3D model	3D形状を生成	生成3D模型
배치를 확인한 뒤 3D 형상을 만드세요.	Review the layout, then generate the 3D model.	配置を確認してから3D形状を生成してください。	确认布局后生成3D模型。
현재 설정 링크 복사	Copy settings link	設定リンクをコピー	复制当前设置链接
맞춤형은 아직 실물 검증 전입니다. 사진 속 고정형과 치수·배치가 다릅니다.	Custom designs are not physically tested. Dimensions and layout differ from the fixed design in the photos.	カスタム品は実物未検証です。写真の固定モデルとは寸法・配置が異なります。	定制版尚未经过实物验证，尺寸及布局与照片中的固定版不同。
배치도	Layout	配置図	布局图
3D 보기	3D view	3D表示	3D视图
뚜껑	Lid	ふた	盒盖
본체	Body	本体	盒体
몸통	Body	本体	盒体
뚜껑 열림 각도	Lid opening angle	ふたの開き角度	盒盖开启角度
코인셀 자동 배치도	Automatic coin-cell layout	コイン電池の自動配置図	纽扣电池自动布局图
본체 STL	Body STL	本体STL	盒体STL
몸통 STL	Body STL	本体STL	盒体STL
뚜껑 STL	Lid STL	ふたSTL	盒盖STL
출력 안내 다운로드	Download print guide	印刷ガイドを保存	下载打印指南
출력 중 자석을 넣어 완성합니다	Insert magnets during printing	印刷途中で磁石を埋め込む	在打印过程中放入磁铁
Ø5 × 2mm 자석 4개와 Ø1.75mm 필라멘트 핀이 필요합니다. 본체는 바닥부터, 뚜껑은 바깥면을 바닥에 놓고 출력합니다. 뚜껑 STL은 이미 뒤집혀 있습니다.	Use four Ø5 × 2mm magnets and a Ø1.75mm filament pin. Print the body on its base and the lid exterior down. The lid STL is already print-oriented.	Ø5×2mmの磁石4個とØ1.75mmのフィラメントピンを使用します。本体は底面、ふたは外側を下に印刷します。ふたSTLは印刷向きに変換済みです。	需要4枚Ø5×2mm磁铁和Ø1.75mm耗材作为铰链轴。盒体底部朝下、盒盖外表面朝下打印。盒盖STL已设为打印方向。
STL에는 일시정지 명령이 없습니다. 아래 높이를 참고해 슬라이서에서 자석 구멍이 덮이기	STLs contain no pause commands. In your slicer, pause	STLには一時停止命令がありません。下の高さを参考に、磁石の穴が覆われる	STL不含暂停指令。请参考下方高度，在磁铁孔被封住
직전	immediately before sealing the magnet pockets	直前	之前
에 정지를 추가하세요. 첫 층·이후 층 모두 0.2mm 기준입니다. 자동 높이·가변 층 높이를 쓰면 다시 확인해야 합니다.	. These values assume 0.2mm for every layer, including the first. Recheck if using variable layer heights.	に停止を追加してください。初層を含め全層0.2mmが前提です。可変積層ピッチでは再確認してください。	添加暂停。所有层（含首层）均按0.2mm计算。使用可变层高时请重新确认。
부품	Part	部品	部件
삽입할 때 완성된 높이	Completed height at insertion	挿入時の完成高さ	插入时已完成高度
덮기 전 정지할 층	Pause before this layer	この層の前に停止	在此层开始前暂停
본체와 뚜껑의 자석 극성을 맞추고, 재개 후 자석이 들뜨지 않는지 확인하세요. 자석 구멍 Ø5.3 × 2.2mm · 뚜껑 받침 여유 0.5mm.	Match body/lid magnet polarity and check for lifting after resuming. Pockets Ø5.3 × 2.2mm; lid clearance 0.5mm.	本体とふたが引き合う極性にし、再開後の浮き上がりを確認します。穴Ø5.3×2.2mm、ふたとの隙間0.5mm。	确认盒体与盒盖磁极相吸，继续打印后检查磁铁是否翘起。磁铁孔Ø5.3×2.2mm，盒盖间隙0.5mm。
브라우저 내 계산 · 로그인·서버 업로드 없음 ·	Calculated in your browser · No login or uploads ·	ブラウザー内で計算 · ログイン・アップロード不要 ·	浏览器内计算 · 无需登录或上传 ·
라이브러리 고지	Third-party notices	ライブラリー表記	第三方库声明
자석 코인셀 보관함 — 실물 출력판 | STL Studio	Magnetic coin-cell organizer — Printed design | STL Studio	磁石式コイン電池ケース — 実物印刷版 | STL Studio	磁吸纽扣电池收纳盒 — 实物打印版 | STL Studio
5종 35개 코인셀을 담는 자석 보관함. 실제 사용 사진, 검증된 고정형 STL·PLA 3MF와 자석 삽입 안내.	Magnetic storage for 35 cells in five sizes. Real photos, fixed-design STL/PLA 3MF files and magnet insertion instructions.	5種類35個の電池を収納。実物写真、固定モデルのSTL・PLA 3MF、磁石挿入ガイド。	可收纳5种共35枚电池。实物照片、固定版STL／PLA 3MF及磁铁安装指南。
실물 출력·사용 확인	Physically printed and used	実物の印刷・使用を確認	已确认实物打印与使用
실제 출력한 보관함의 다섯 종류 코인셀 슬롯과 높이가 다른 뚜껑 안쪽	Printed box with five battery rows and height-matched lid pads	5種類のスロットと高さを合わせたふたの押さえ	实物收纳盒的五类电池插槽及不同高度的盒盖限位块
코인셀을 정리하고,	Organize your coin cells.	コイン電池を整理して、	整理纽扣电池，
하나씩 꺼내세요.	Take one at a time.	一つずつ取り出す。	逐枚轻松取用。
20° 경사 슬롯 · 종류별 표기 · 보이지 않는 매립 자석.	20° tilted slots · Type labels · Hidden magnets.	20°傾斜スロット · 種類別ラベル · 埋め込み磁石。	20°倾斜插槽 · 分类标识 · 隐藏式磁铁。
뚜껑 안쪽 높이는 코인셀에 맞춰 달라집니다.	Lid pad heights follow the different cell sizes.	ふたの内側の高さを電池に合わせています。	盒盖内侧高度随电池尺寸变化。
각 7개, 총 35개 / 약 96.4 × 117 × 28.9mm	7 each, 35 total / approx. 96.4 × 117 × 28.9mm	各7個、合計35個 / 約96.4 × 117 × 28.9mm	每种7枚，共35枚 / 约96.4 × 117 × 28.9mm
몸통 + 뚜껑 전체 3MF 받기 (PLA)	Download complete body + lid 3MF (PLA)	本体＋ふた全体の3MF (PLA)	下载完整盒体＋盒盖3MF (PLA)
뚜껑만 3MF	Lid-only 3MF	ふたのみ3MF	仅盒盖3MF
다른 종류·수량으로 편집하기 →	Customize types and quantities →	種類・数量を変更する →	自定义种类与数量 →
맞춤 편집 결과는 이 실물과 다른 시험판 형상입니다.	Custom outputs are experimental and differ from this physical design.	カスタム出力は試用版で、この実物とは異なります。	定制结果为试验形状，与此实物不同。
닫힌 직사각형 보관함	Closed rectangular organizer	閉じた長方形のケース	闭合的长方形收纳盒
닫으면 단정한 직사각형. 앞쪽 홈으로 엽니다.	A clean rectangle when closed. Open using the front recess.	閉じるとすっきりした長方形。前のくぼみから開きます。	闭合后外形整齐，从前方凹口打开。
코인셀을 위로 들어 올려 꺼내는 손	Lifting a cell out of its slot	電池を持ち上げて取り出す様子	将电池向上提起取出的动作
슬롯 방향을 따라 살짝 올린 뒤 집어 꺼냅니다.	Lift along the slot, then pinch and remove.	スロットに沿って少し持ち上げ、つまんで取り出します。	沿插槽方向稍微提起，再捏住取出。
CR2450 슬롯에서 코인셀을 집는 모습	Gripping a CR2450 in its slot	CR2450をスロットからつまむ様子	从CR2450插槽中捏取电池
기울기 20°, 슬롯 중심 간격 9mm를 사용했습니다.	20° tilt and 9mm slot centre spacing.	傾き20°、スロット中心間隔9mm。	倾角20°，插槽中心间距9mm。
자석을 넣고, 다음 층으로 덮습니다	Insert magnets, then seal with the next layers	磁石を入れ、次の層で閉じる	放入磁铁，再用后续层封住
Ø5×2mm 자석 4개와 Ø1.75mm 필라멘트 핀을 준비하세요. 홈은 Ø5.3×2.2mm입니다. 접착제와 별도 막음조각은 필요하지 않습니다.	Prepare four Ø5×2mm magnets and a Ø1.75mm filament pin. Pockets are Ø5.3×2.2mm. No glue or separate plugs are needed.	Ø5×2mm磁石4個とØ1.75mmフィラメントピンを用意します。穴はØ5.3×2.2mm。接着剤や別の栓は不要です。	准备4枚Ø5×2mm磁铁及Ø1.75mm耗材轴。孔尺寸为Ø5.3×2.2mm，无需胶水或单独封堵件。
멈출 시점 (0.2mm 층)	Pause point (0.2mm layers)	停止時点 (0.2mm積層)	暂停时点 (0.2mm层高)
할 일	Action	作業	操作
58층 시작 전 · 11.4mm 완성	Before layer 58 · 11.4mm completed	58層の前 · 11.4mm完成	第58层开始前 · 已完成11.4mm
84층 시작 전 · 16.6mm 완성	Before layer 84 · 16.6mm completed	84層の前 · 16.6mm完成	第84层开始前 · 已完成16.6mm
자석 2개 삽입	Insert 2 magnets	磁石2個を挿入	放入2枚磁铁
뚜껑과 끌어당기는 극성으로 2개 삽입	Insert 2 magnets with polarity attracting the lid	ふたと引き合う極性で2個挿入	放入2枚与盒盖磁极相吸的磁铁
3MF에는 정지를 넣었습니다. STL에는 정지가 없으므로 직접 설정해야 합니다. 출력 방향·크기·층 높이를 바꾸면 다시 확인하세요. 뚜껑만 출력하는 3MF는 한 번 멈춥니다.	The 3MF includes pauses; STLs do not. Recheck if orientation, scale or layer height changes. The lid-only 3MF pauses once.	3MFは停止設定済み、STLは手動設定が必要です。向き・倍率・積層ピッチを変えたら再確認してください。ふたのみ3MFは1回停止します。	3MF已设暂停，STL需自行添加。改变方向、缩放或层高后请重新确认。仅盒盖3MF暂停一次。
출력 파일 전체 ZIP	All print files (ZIP)	印刷ファイル一式 (ZIP)	全部打印文件 (ZIP)
출력·조립 안내	Printing & assembly guide	印刷・組み立てガイド	打印与装配指南
배포 파일 기록	Release file manifest	配布ファイル記録	发布文件清单
사진은 실제 출력물입니다. 고정형 부품은 제작자의 출력·사용 확인을 받았습니다. 전체 3MF는 성공한 몸통과 수정 뚜껑을 함께 배치한 파일이며, 이 조합 플레이트의 슬라이싱을 별도로 검사했습니다. 정량 흔들기·낙하·장기 내구성 시험을 의미하지 않습니다.	Photos show the actual print. The fixed parts were printed and used by the designer. The complete 3MF combines the successful body and corrected lid; its slicing was checked separately. This is not a quantified shake, drop or lifetime test.	写真は実物です。固定部品は制作者が印刷・使用を確認しました。全体3MFは成功した本体と修正ふたを組み合わせ、スライスを別途確認したものです。定量的な振動・落下・耐久試験ではありません。	照片为实际打印件。固定版部件已由设计者打印并使用。完整3MF组合了成功的盒体与修正盒盖，并单独检查过切片；不代表通过定量摇晃、跌落或寿命测试。
어린이 보호용 잠금 보관함이 아닙니다. 코인셀과 자석은 어린이의 손이 닿지 않게 보관하세요.	This is not a child-resistant container. Keep coin cells and magnets out of children's reach.	子どもの開封を防ぐ容器ではありません。電池と磁石は子どもの手の届かない場所に保管してください。	本产品不是儿童安全锁容器。请将纽扣电池及磁铁放在儿童接触不到的地方。
모델·사진 © 2026 hcpark0121 / STL Studio ·	Models & photos © 2026 hcpark0121 / STL Studio ·	モデル・写真 © 2026 hcpark0121 / STL Studio ·	模型与照片 © 2026 hcpark0121 / STL Studio ·
CC BY-NC 4.0 — 출처 표시·비상업적 공유 및 수정 허용	CC BY-NC 4.0 — Attribution, noncommercial sharing and adaptation	CC BY-NC 4.0 — 表示・非営利での共有と改変可	CC BY-NC 4.0 — 署名、非商业性分享与修改
설정이 바뀌었습니다. 3D 형상을 다시 만들어 주세요.	Settings changed. Generate the model again.	設定が変わりました。形状を再生成してください。	设置已更改，请重新生成模型。
설정을 조정해 주세요.	Please adjust the settings.	設定を調整してください。	请调整设置。
현재 설정 링크를 복사했습니다.	Settings link copied.	設定リンクをコピーしました。	已复制设置链接。
주소창의 주소를 복사하면 같은 설정을 공유할 수 있습니다.	Copy the address bar URL to share these settings.	アドレスバーのURLをコピーして設定を共有できます。	复制地址栏网址即可分享相同设置。
먼저 3D 형상을 만들어 주세요.	Generate the 3D model first.	先に3D形状を生成してください。	请先生成3D模型。
브라우저에서 형상을 만드는 중…	Generating geometry in your browser…	ブラウザーで形状を生成中…	正在浏览器中生成模型…
계산 중 설정이 바뀌었습니다. 다시 만들어 주세요.	Settings changed during generation. Please generate again.	計算中に設定が変わりました。再生成してください。	计算期间设置发生变化，请重新生成。
